ISIN;Division;ISIN
NL0012706154;1,0000;IE00BVVQ9K69
NL0012706196;0,6165;IE000FZ5BIF1
NL0012706196;0,3835;IE00BNDS0V25
NL0012706238;1,0000;IE00BVVQBD33
NL0014040164;1,0000;NL0013089147
NL0013546955;1,0000;NL0013552094
NL0012706220;1,0000;IE00BYSX5D68
NL0012706204;1,0000;IE0007472990
NL0012706279;1,0000;NL0012706279
